"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Логин","Пустые поля","0","0","2","0","0"
"","Корзина","Продолжить покупки","0","0","2","0","0"
"","Полный путь покупки","Полный путь покупки","0","0","2","0","0"
"","Логин","Неверный логин","0","0","2","0","0"
"","Корзина","Удаление товара","0","0","2","0","0"
"","Логин","Успешный логин","0","0","2","0","0"
"","Корзина","Добавление товара","0","0","2","0","0"
